Город,Средняя зарплата
Наманган,70032.0
Гагино,70013.0
Краснотуранск,70000.0
Полеводство,70000.0
Амурское (Амурская область),70000.0
Алябьевский,70000.0
Болчары,70000.0
Верхнеказымский,70000.0
Малышева,70000.0
Куминский,70000.0
Внуковское,70000.0
Кутерем,70000.0
Манжерок,70000.0
Андра,70000.0
Агириш,70000.0
Перегребное,70000.0
Белый Яр (Республика Хакасия),70000.0
Красноармейский,70000.0
Мурманская область,70000.0
Майский (Тюменская область),70000.0
Цолга,70000.0
Птичное (Московская область),70000.0
Красково  (Московская область),70000.0
Мокшино,70000.0
Павловская Слобода,69960.0
Долгопрудный,69889.0
Григорополисская,69875.0
Большие Уки,69833.0
Новобелокатай,69750.0
Карабаш (Республика Татарстан),69743.0
Цюрупинск,69741.0
Тарманы,69667.0
Онохино,69667.0
Асака,69644.0
"Центральный (Тульская область, Суворовский район)",69600.0
Горки Ленинские,69594.0
Междуреченск (Коми),69556.0
Оса (Иркутская область),69454.0
"Михнево (Московская область, Ступинский район)",69430.0
Дудинка (Красноярский край),69397.0
Бакчар,69333.0
Столбовая,69333.0
Щапово (Московская область),69273.0
Лазаревское,69222.0
Владивосток,69207.0
Октябрьский (Сысертский городской округ),69167.0
Королев,69140.0
Лянтор,69100.0
Ивантеевка,69067.0
Жмеринка,69054.0
Землянск,69031.0
Нарьян-Мар,68980.0
Ильинский (Раменский район),68975.0
Новый Городок (Одинцовский район),68950.0
Печерск,68919.0
Ванино,68898.0
Одинцово,68854.0
Старь,68845.0
Старые Бобовичи,68812.0
Южно-Сахалинск,68774.0
Кузедеево,68770.0
Полярные Зори,68767.0
Талакан (Амурская область),68750.0
Тулома,68750.0
Митино,68750.0
Юргинское,68683.0
Мелиораторов (Тюменская область),68683.0
Нахабино,68642.0
Привокзальный (Свердловская область),68611.0
Крекшино,68584.0
Лузино,68583.0
Московский (Тюменская область),68583.0
Янино-1,68551.0
Алтай (Ханты-Мансийский АО - Югра),68536.0
Каскара,68531.0
Большой Камень,68523.0
Калининец,68452.0
Луцк,68452.0
Федотово,68375.0
Большеустьикинское,68333.0
Корсаково,68333.0
Карабудахкент,68333.0
Фряново,68304.0
Радужный (Ханты-Мансийский АО - Югра),68294.0
Красногорск,68264.0
Кременкуль,68250.0
Ильиногорск,68241.0
Кубенское,68167.0
Красногорский (Кемеровская область),68125.0
Саваслейка,68086.0
Зыково,68056.0
Усть-Большерецк,68011.0
Константиновское,68000.0
Кугульта (Ставропольский край),68000.0
Заветное (Ставропольский край),68000.0
Кевсала,68000.0
Круглолесское,68000.0
Марьинская (Ставропольский край),68000.0
Дмитриевское (Ставропольский край),68000.0
Казань,67980.0
Южный (Самарская область),67935.0
Дружба (Нижегородская область),67860.0
Подольск (Московская область),67843.0
Лобня,67803.0
Уфимский (Свердловская область),67750.0
Депо,67750.0
Удачный,67731.0
Красногорский (Республика Марий Эл),67699.0
Лесной Городок,67653.0
Верхнеднепровск,67631.0
Орлово,67625.0
Днепр (Днепропетровск),67602.0
Большое,67583.0
Усть-Ишим,67572.0
Пятигорский,67542.0
Восточный,67500.0
Спирово (Ивановская область),67500.0
Большой Уссурийский,67500.0
Левашово,67500.0
Дубки (Дагестан),67500.0
Сулак (Дагестан),67500.0
